Title,Author(s),Publish Year,Subjects
Artificial intelligence and brain theory technical report series,,1986,"Mind-brain identity theory, Bibliography, Catalogs, Artificial intelligence"
Artificial intelligence technical reports,,1985,"Bibliography, Catalogs, Artificial intelligence"
Artificial intelligence research reports,University of Texas at Austin,1985,"Bibliography, Catalogs, Artificial intelligence"
"Avtomaticheskiĭ analiz, perevod, obuchenie ponimanii︠u︡ teksta",Aleksandr Markovich Shakhnarovich,1989,"Artificial intelligence, Congresses, Machine translating"
Teorii︠a︡ i primenenie iskusstvennogo intellekta,,1989,"Artificial intelligence, Congresses"
Jinkō chinō daijiten,,,"Artificial intelligence, Encyclopedias"
Image et intelligence artificielle dans l'information scientifique et technique,Christian Bornes,1988,"Expert systems (Computer science), Congresses, Image processing, Artificial intelligence"
Artificial intelligence in Australia,,1988,"Expert systems (Computer science), Artificial intelligence, Research"
Neural networks worldwide markets,,1989,"Computer industry, Artificial intelligence, Market surveys"
Artificial intelligence,,1985,"Information services industry, Computer industry, Artificial intelligence"
The U.S. market for intelligent terminals,Frost & Sullivan,1983,"Computer industry, Artificial intelligence, Computer terminals, Market surveys"
"Intelligence des mécanismes, mécanismes de l'intelligence",Jean-Louis Le Moigne,1986,"Cognitive science, Artificial intelligence, Cognition"
Augmented Cognition. Human Cognition and Behavior,"Dylan D. Schmorrow, Cali M. Fidopiastis",2020,"Computer networks, Computer-assisted instruction, Information technology, Artificial intelligence, User interfaces (computer systems)"
Ke tuo ce lüe sheng cheng xi tong,Li Lixi,2006,"Topology, Data processing, System design, Artificial intelligence"
Chishiki shisutemu no jissō kiso,Toramatsu Shintani,2012,Artificial intelligence
Hands-on Time Series Analysis with Python,"B V Vishwas, ASHISH PATEL",2020,"Python (computer program language), Open source software, Artificial intelligence"
Age of Em,Robin Hanson,2018,"Computers and civilization, Artificial intelligence, Robots"
Machine Intelligence,"Utpal Sharma, Bhabesh Nath, Dhruba K. Bhattacharyya",2011,Artificial intelligence
Dynamic systems approach for embodiment and sociality,"Kazuyuki Murase, Toshiyuki Asakura",2003,"Artificial intelligence, Congresses, Robotics"
Agent engineering,Jiming Liu,2001,"Intelligent agents (Computer software), Artificial intelligence"
Tecnologia e gestão da informação na segurança pública,Vasco Furtado,2002,"Computer security, Information technology, Security measures, Artificial intelligence, Security systems"
Gibridnye intellektualʹnye sistemy,A. V. Gavrilov,2003,Artificial intelligence
Ren gong zhi neng yuan li ji ying yong,Chuanding Xing,2005,"Artificial intelligence, Mathematics"
AI jiten,Shun Tsuchiya,2003,"Artificial intelligence, Handbooks, manuals"
A.I. '95,Australian Joint Conference on Artificial Intelligence (8th 1995 Canberra A.C.T.),1995,"Congresses, Artificial intelligence"
Redes neuronales artificiales,José Ramón Hilera González,1995,"Neural networks (Computer science), Artificial intelligence"
Organizat︠s︡ionnoe upravlenie i iskusstvennyĭ intellekt,Institut sistemnogo analiza (Rossiĭskai︠a︡ akademii︠a︡ nauk),2003,"Information storage and retrieval systems, Knowledge management, Artificial intelligence"
Dynamics and management of reasoning processes,John-Jules Ch Meyer,2001,"Artificial intelligence, Reasoning, Management science"
Neparametricheskie kollektivy reshai︠u︡shchikh pravil,V. A. Lapko,2002,"Nonparametric statistics, Decision making, Mathematical models, Algorithms, Expert systems (Computer science), Artificial intelligence, Mathematics"
2006 3rd International IEEE conference intelligent systems,"England) International IEEE Conference ""Intelligent Systems"" (3rd 2006 London",2006,"Intelligent control systems, Congresses, Expert systems (Computer science), Artificial intelligence"
Artificial intelligence and the sociology of knowledge,András Kertész,1993,"Artificial intelligence, Integration (Theory of knowledge), Knowledge, Sociology of, Philosophy, Science, Sociology of Knowledge, Science, philosophy, Knowledge, sociology of"
2006 IEEE/WIC/ACM International Conference on Intelligent Agent Technology,China) IEEE/WIC/ACM International Conference on Intelligent Agent Technology (2006 Hong Kong,2006,"Intelligent agents (Computer software), Congresses, Artificial intelligence"
"Information systems architecture and technology, ISAT 2004",Poland) ISAT Scientific School (25th 2004 Wrocław,2004,"Management information systems, Congresses, System analysis, Computer network architectures, Artificial intelligence, Computer networks"
Artificial intelligence research and development,"Isabel Aguiló, M. Teresa Escrig",2003,"Artificial intelligence, Congresses"
"Bildwörterbuch Handhabungstechnik, Robotik, künstliche Intelligenz","Stefan Hesse, Erhard Taubert",2000,"Industrial Robots, Dictionaries, Artificial intelligence, English language, German, German language, English"
Eighth Scandinavian Conference on Artificial Intelligence,Norway) Scandinavian Conference on Artificial Intelligence (8th 2003 Bergen,2003,"Artificial intelligence, Congresses"
Können Maschinen handeln?,"Werner Rammert, Ingo Schulz-Schaeffer",2002,"Information technology, Congresses, Artificial intelligence"
The future of VR and AR interfaces,Japan) Workshop on the Future of VR and AR Interfaces (2001 Yokohama,2001,"Human-computer interaction, Congresses, Virtual reality, Artificial intelligence"
Wissen in Aktion,"Rainer Kuhlen, Rainer Hammwöhner, Marc Rittberger, Wolfgang Semar",2004,"Database management, Information retrieval, Information theory, Artificial intelligence"
Character values,John E. LaMuth,2005,"Values, Character, Ethics, Human behavior, Moral and ethical aspects, Artificial intelligence"
2005 IEEE International Workshop on Robot and Human Interactive Communication (RO-MAN),,2005,"Robotics, Congresses, Human-machine systems, Artificial intelligence, Virtual reality, Computer animation"
"Proceedings of the 2006 IEEE International Conference on Networking, Sensing, and Control","IEEE International Conference on Networking, Sensing, and Control (2006 Fort Lauderdale, Fla.)",2006,"Computer networks, Congresses, Detectors, Control theory, Artificial intelligence, Transportation, Mobile communication systems"
"Natura, mente e persona",Franco Bosio,2006,"Artificial intelligence, Philosophy"
Investigação criminal e informática,Eduardo Marcelo Castella,2005,"Criminal investigation, Police questioning, Artificial intelligence, Expert systems (Computer science)"
"Computers, artificial intelligence, virtual reality",,2005,"Computers, Congresses, Christianity, Artificial intelligence, Virtual reality, Technology"
Proceedings of INMIC 2004,"International Multi Topic Conference (8th 2004 National University of Computer and Emerging Sciences, Lahore, Pakistan)",2004,"Signal processing, Congresses, Digital techniques, Image processing, Telecommunication systems, Computer networks, Artificial intelligence, Software engineering, Neural networks (Computer science)"
Stairs 2004,"Eva Onaindia, Steffen Staab, STARTING ARTIFICIAL INTELLIGENCE RESEARC",2004,"Intelligent control systems, Congresses, Artificial intelligence, Expert systems (Computer science)"
ISIMP 2004,"International Symposium on Intelligent Multimedia, Video and Speech Processing (2nd 2004 Hong Kong, China)",2004,"Multimedia systems, Congresses, Artificial intelligence, Image processing, Digital techniques, Speech processing systems"
"2005 IEEE networking, sensing, and control","IEEE International Conference on Networking, Sensing, and Control (2nd 2005 Tucson, Ariz.)",2005,"Computer networks, Congresses, Detectors, Control theory, Artificial intelligence, Transportation, Mobile communication systems"
Új észjárások,László Mérő,2001,"Thought and thinking, Artificial intelligence"
Metodologiczna analiza identyfikacji czarnej skrzynki,Ireneusz Sierocki,2004,Artificial intelligence
"Mechanical bodies, computational minds","Stefano Franchi, Güven Güzeldere",2005,"Artificial intelligence, Intelligence artificielle, Kunstmatige intelligentie, Robots"
La macchina vivente,Giorgio Israel,2004,"Conscious automata, Artificial life, Artificial intelligence"
"AIPS O2, proceedings",France) International Conference on Artificial Intelligence Planning and Scheduling (6th 2002 Toulouse,2002,"Artificial intelligence, Congresses, Planning, Data processing"
"Planning, scheduling and constraint satisfaction",,2005,"Artificial intelligence, Congresses, Constraints (Artificial intelligence), Scheduling"
Intelligent and adaptive systems and software engineering,Calif.) ISCA International Conference on Intelligent Systems (12th 2003 San Francisco,2003,"Expert systems (Computer science), Congresses, Artificial intelligence"
Of thoughts and words,"Nobel Symposium (92nd 1994 Stockholm, Sweden)",1995,"Congresses, Biolinguistics, Philosophy, Language and languages, Artificial intelligence, Lenguaje e idiomas, Filosofía, Congresos, Inteligencia artificial, Language and languages, philosophy"
Proceedings of Workshop on Artificial Intelligence,Taiwan) Workshop on Artificial Intelligence (1998 Tʻai-nan shih,1998,"Artificial Intelligence, Congresses"
Herbert Simon et les sciences de conception,A. Demailly,2004,"Social scientists, Biography, Cognitive science, Artificial intelligence"
Flucht zum Mars,Herbert W. Franke,2007,"Artificial intelligence, Manned space flight, fiction, Totalitarianism, fiction, Fiction, thrillers, technological"
… nichts bleibt uns als das Staunen,Herbert W. Franke,1959,"Future life, Space flight, Virtual reality, Artificial intelligence"
Spiegel der Gedanken,Herbert W. Franke,1990,"Artificial intelligence, Fiction, science fiction, collections & anthologies"
O bazovykh zadachakh iskusstvennogo intellekta v mulʹtidist︠s︡iplinarnykh issledovanii︠a︡kh,I︠U︡. A. Voronin,2001,"Artificial intelligence, Cognitive science"
Zhi neng wu qi yu wu ren zhan zheng,Zhanzhong Xiao,2001,"Artificial intelligence, Military applications, Military Vehicles, Remotely piloted Vehicles"
"2007 IEEE International Conference on Networking, Sensing, and Control","IEEE International Conference on Networking, Sensing, and Control (2007 London, United Kingdom)",2007,"Computer networks, Congresses, Detectors, Control theory, Artificial intelligence, Transportation, Mobile communication systems"
Amygdalatropolis,"B R Yeager, Edia Connole",2017,"Artificial intelligence, Fiction"
Live Longer with AI,"Tina Woods, Melissa Ream",2020,"Computers, social aspects, Human-computer interaction, Artificial intelligence"
A survey of characteristic engine features for technology-sustained pervasive games,Kim J. L. Nevelsteen,2015,"Computer games, Programming, Ubiquitous computing, Augmented reality, Computer vision, Artificial intelligence, User interface design & usability, GAMES, Board, Computer games, programming"
Ren gong zhi neng,Kerong Ben,2006,"Artificial intelligence, Ren gong zhi neng, Jiao cai, Gao deng xue xiao"
Inteligencia artificial aplicada al derecho,Enrique Cáceres Nieto,2005,"Artificial intelligence, Congresses, Expert systems (Computer science), Ontology"
2020 nian de zhan zheng,Xiuru Lu,2008,"Artificial intelligence, Military applications, Electronics in military engineering, Command and control systems, Military art and science, Automation"
Words and intelligence II,Mark Stevenson,2007,"Computational linguistics, Natural language processing (Computer science), Artificial intelligence, Machine translating, Linguistique informatique, Traitement automatique des langues naturelles, Intelligence artificielle, Traduction automatique, LANGUAGE ARTS & DISCIPLINES, Linguistics, Historical & Comparative, Sciences sociales, Sciences humaines, Semantics, Natural language processing (computer science)"
2009 IEEE Workshop on Robotic Intelligence in Informationally Structured Space,Tenn.) IEEE Workshop on Robotic Intelligence in Informationally Structured Space (2009 Nashville,2009,"Artificial intelligence, Congresses, Mobile robots"
